mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total % Area,Inclusion % Area,Neurite % Area,Inclusion per mm^2
IM 331,814,0.2,left,DP,DP,WT,mPFF,M,pSyn,0,0,0,0
IM 334,814,0.2,left,DP,DP,WT,mPFF,F,pSyn,0,0,0,0
IM 338,814,0.2,left,DP,DP,WT,mPFF,M,pSyn,0,0,0,0
IM 341,814,0.2,left,DP,DP,WT,mPFF,F,pSyn,0,0,0,0
IM 331,872,0.2,left,DR,DR,WT,mPFF,M,pSyn,0,0,0,0
IM 334,872,0.2,left,DR,DR,WT,mPFF,F,pSyn,0,0,0,0
IM 338,872,0.2,left,DR,DR,WT,mPFF,M,pSyn,0,0,0,0
IM 341,872,0.2,left,DR,DR,WT,mPFF,F,pSyn,0,0,0,0
IM 331,812,0.2,left,dscp,dscp,WT,mPFF,M,pSyn,0,0,0,0
IM 334,812,0.2,left,dscp,dscp,WT,mPFF,F,pSyn,0,0,0,0
IM 338,812,0.2,left,dscp,dscp,WT,mPFF,M,pSyn,0,0,0,0
IM 341,812,0.2,left,dscp,dscp,WT,mPFF,F,pSyn,0,0,0,0
IM 331,579,0.2,left,ec,ec,WT,mPFF,M,pSyn,0,0,0,0
IM 334,579,0.2,left,ec,ec,WT,mPFF,F,pSyn,0.000354508,0,0.000354508,0
IM 338,579,0.2,left,ec,ec,WT,mPFF,M,pSyn,0.000641234,0,0.000641234,0
IM 341,579,0.2,left,ec,ec,WT,mPFF,F,pSyn,0.000655376,0,0.000655376,0
IM 331,"c(427, 988, 977, 1045, 836)",0.2,left,ECT,"c(""ECT2/3"", ""ECT5"", ""ECT6a"", ""ECT6b"", ""ECT1"")",WT,mPFF,M,pSyn,6.76E-05,0,6.76E-05,0
IM 334,"c(836, 1045, 988, 427, 977)",0.2,left,ECT,"c(""ECT1"", ""ECT6b"", ""ECT5"", ""ECT2/3"", ""ECT6a"")",WT,mPFF,F,pSyn,0.000104338,0,0.000104338,0
IM 338,"c(836, 988, 1045, 427, 977)",0.2,left,ECT,"c(""ECT1"", ""ECT5"", ""ECT6b"", ""ECT2/3"", ""ECT6a"")",WT,mPFF,M,pSyn,0.000336287,0,0.000336287,0
