mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total % Area,Inclusion % Area,Neurite % Area,Incl per mm^2
IM340,579,0.1,left,ec,ec,WT,mPFF,F,pSyn,0.002431583,0,0.002431583,0
IM330,"c(836, 427, 977, 988, 1045)",0.1,left,ECT,"c(""ECT1"", ""ECT2/3"", ""ECT6a"", ""ECT5"", ""ECT6b"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(1045, 836, 988, 427, 977)",0.1,left,ECT,"c(""ECT6b"", ""ECT1"", ""ECT5"", ""ECT2/3"", ""ECT6a"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(427, 836, 1045, 988, 977)",0.1,left,ECT,"c(""ECT2/3"", ""ECT1"", ""ECT6b"", ""ECT5"", ""ECT6a"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(988, 427, 836, 1045, 977)",0.1,left,ECT,"c(""ECT5"", ""ECT2/3"", ""ECT1"", ""ECT6b"", ""ECT6a"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,1092,0.1,left,em,em,WT,mPFF,M,pSyn,0,0,0,0
IM333,1092,0.1,left,em,em,WT,mPFF,F,pSyn,0,0,0,0
IM337,1092,0.1,left,em,em,WT,mPFF,M,pSyn,0,0,0,0
IM340,1092,0.1,left,em,em,WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(20, 1121, 28, 52, 139)",0.1,left,ENTl,"c(""ENTl2"", ""ENTl1"", ""ENTl6a"", ""ENTl3"", ""ENTl5"")",WT,mPFF,M,pSyn,1.06E-05,0,1.06E-05,0
IM333,"c(1121, 28, 20, 52, 139)",0.1,left,ENTl,"c(""ENTl1"", ""ENTl6a"", ""ENTl2"", ""ENTl3"", ""ENTl5"")",WT,mPFF,F,pSyn,9.46E-05,0,9.46E-05,0
IM337,"c(1121, 139, 20, 28, 52)",0.1,left,ENTl,"c(""ENTl1"", ""ENTl5"", ""ENTl2"", ""ENTl6a"", ""ENTl3"")",WT,mPFF,M,pSyn,3.00E-06,0,3.00E-06,0
IM340,"c(20, 139, 28, 52, 1121)",0.1,left,ENTl,"c(""ENTl2"", ""ENTl5"", ""ENTl6a"", ""ENTl3"", ""ENTl1"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(543, 526, 743, 664, 727)",0.1,left,ENTm,"c(""ENTm2"", ""ENTm1"", ""ENTm6"", ""ENTm3"", ""ENTm5"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(526, 543, 664, 743, 727)",0.1,left,ENTm,"c(""ENTm1"", ""ENTm2"", ""ENTm3"", ""ENTm6"", ""ENTm5"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(727, 664, 743, 543, 526)",0.1,left,ENTm,"c(""ENTm5"", ""ENTm3"", ""ENTm6"", ""ENTm2"", ""ENTm1"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(727, 743, 664, 543, 526)",0.1,left,ENTm,"c(""ENTm5"", ""ENTm6"", ""ENTm3"", ""ENTm2"", ""ENTm1"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(966, 952)",0.1,left,EP,"c(""EPv"", ""EPd"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(952, 966)",0.1,left,EP,"c(""EPd"", ""EPv"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(952, 966)",0.1,left,EP,"c(""EPd"", ""EPv"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(952, 966)",0.1,left,EP,"c(""EPd"", ""EPv"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,560581551,0.1,left,Eth,Eth,WT,mPFF,M,pSyn,0,0,0,0
IM333,560581551,0.1,left,Eth,Eth,WT,mPFF,F,pSyn,0,0,0,0
IM337,560581551,0.1,left,Eth,Eth,WT,mPFF,M,pSyn,0,0,0,0
IM340,560581551,0.1,left,Eth,Eth,WT,mPFF,F,pSyn,0,0,0,0
IM333,975,0.1,left,EW,EW,WT,mPFF,F,pSyn,0,0,0,0
IM337,975,0.1,left,EW,EW,WT,mPFF,M,pSyn,0,0,0,0
IM340,975,0.1,left,EW,EW,WT,mPFF,F,pSyn,0,0,0,0
IM330,982,0.1,left,FC,FC,WT,mPFF,M,pSyn,0,0,0,0
