mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total Pathology % Area ,Inclusion Pathology % Area,Neurite Pathology % Area,Inclusion Count per mm^2 (log10)
IM 58,"c(430, 622, 590, 687, 542)",6,right,RSPv,"c(""RSPv2/3"", ""RSPv6b"", ""RSPv6a"", ""RSPv5"", ""RSPv1"")",WT,mPFF,F,pSyn,0.00278413,0,0.00278413,0
IM 59,"c(430, 542, 590, 687, 622)",6,right,RSPv,"c(""RSPv2/3"", ""RSPv1"", ""RSPv6a"", ""RSPv5"", ""RSPv6b"")",WT,mPFF,F,pSyn,0.005428109,0,0.005428109,0.596921179
IM 60,"c(622, 542, 687, 590, 430)",6,right,RSPv,"c(""RSPv6b"", ""RSPv1"", ""RSPv5"", ""RSPv6a"", ""RSPv2/3"")",WT,mPFF,F,pSyn,0.004581935,0.002447945,0.00213399,0.764559498
IM 61,"c(622, 590, 542, 687, 430)",6,right,RSPv,"c(""RSPv6b"", ""RSPv6a"", ""RSPv1"", ""RSPv5"", ""RSPv2/3"")",WT,mPFF,M,pSyn,0.019732078,0.007093868,0.012638209,1.426686306
IM 62,"c(430, 687, 590, 542, 622)",6,right,RSPv,"c(""RSPv2/3"", ""RSPv5"", ""RSPv6a"", ""RSPv1"", ""RSPv6b"")",WT,mPFF,M,pSyn,0.009362107,0,0.009362107,0
IM 63,"c(430, 590, 622, 687, 542)",6,right,RSPv,"c(""RSPv2/3"", ""RSPv6a"", ""RSPv6b"", ""RSPv5"", ""RSPv1"")",WT,mPFF,M,pSyn,0.000858527,0,0.000858527,0
IM 64,"c(687, 590, 622, 430, 542)",6,right,RSPv,"c(""RSPv5"", ""RSPv6a"", ""RSPv6b"", ""RSPv2/3"", ""RSPv1"")",WT,mPFF,M,pSyn,0.000588749,0,0.000588749,0
IM57,"c(687, 430, 622, 542, 590)",6,right,RSPv,"c(""RSPv5"", ""RSPv2/3"", ""RSPv6b"", ""RSPv1"", ""RSPv6a"")",WT,mPFF,F,pSyn,0.01322728,0.008484041,0.004743239,2.054163808
IM 58,262,6,right,RT,RT,WT,mPFF,F,pSyn,0.001855468,0,0.001855468,0
IM 59,262,6,right,RT,RT,WT,mPFF,F,pSyn,0.009639697,0,0.009639697,0
IM 60,262,6,right,RT,RT,WT,mPFF,F,pSyn,0.001554058,0,0.001554058,0
IM 61,262,6,right,RT,RT,WT,mPFF,M,pSyn,0.0069345,0,0.0069345,0
IM 62,262,6,right,RT,RT,WT,mPFF,M,pSyn,0.029729084,0.004363093,0.02536599,1.484086991
IM 63,262,6,right,RT,RT,WT,mPFF,M,pSyn,0.000718416,0,0.000718416,0
IM 64,262,6,right,RT,RT,WT,mPFF,M,pSyn,0.003128768,0,0.003128768,0
IM57,262,6,right,RT,RT,WT,mPFF,F,pSyn,0.000130013,0,0.000130013,0
IM 58,863,6,right,rust,rust,WT,mPFF,F,pSyn,0,0,0,0
IM 59,863,6,right,rust,rust,WT,mPFF,F,pSyn,0,0,0,0
IM 60,863,6,right,rust,rust,WT,mPFF,F,pSyn,0,0,0,0
IM 61,863,6,right,rust,rust,WT,mPFF,M,pSyn,0,0,0,0
IM 63,863,6,right,rust,rust,WT,mPFF,M,pSyn,0,0,0,0
IM 64,863,6,right,rust,rust,WT,mPFF,M,pSyn,0,0,0,0
IM57,863,6,right,rust,rust,WT,mPFF,F,pSyn,0,0,0,0
IM 58,271,6,right,SAG,SAG,WT,mPFF,F,pSyn,0,0,0,0
IM 59,271,6,right,SAG,SAG,WT,mPFF,F,pSyn,0.000156362,0,0.000156362,0
IM 60,271,6,right,SAG,SAG,WT,mPFF,F,pSyn,0,0,0,0
IM 61,271,6,right,SAG,SAG,WT,mPFF,M,pSyn,0,0,0,0
IM 63,271,6,right,SAG,SAG,WT,mPFF,M,pSyn,0,0,0,0
IM 64,271,6,right,SAG,SAG,WT,mPFF,M,pSyn,0,0,0,0
IM57,271,6,right,SAG,SAG,WT,mPFF,F,pSyn,0,0,0,0
IM 58,"c(42, 26, 10, 17)",6,right,SCm,"c(""SCdw"", ""SCdg"", ""SCig"", ""SCiw"")",WT,mPFF,F,pSyn,0.000372953,0,0.000372953,0
IM 59,"c(10, 42, 17, 26)",6,right,SCm,"c(""SCig"", ""SCdw"", ""SCiw"", ""SCdg"")",WT,mPFF,F,pSyn,0,0,0,0
IM 60,"c(17, 42, 10, 26)",6,right,SCm,"c(""SCiw"", ""SCdw"", ""SCig"", ""SCdg"")",WT,mPFF,F,pSyn,0,0,0,0
IM 61,"c(17, 42, 10, 26)",6,right,SCm,"c(""SCiw"", ""SCdw"", ""SCig"", ""SCdg"")",WT,mPFF,M,pSyn,0.000258805,0,0.000258805,0
IM 62,"c(10, 17)",6,right,SCm,"c(""SCig"", ""SCiw"")",WT,mPFF,M,pSyn,0,0,0,0
IM 63,"c(42, 26, 10, 17)",6,right,SCm,"c(""SCdw"", ""SCdg"", ""SCig"", ""SCiw"")",WT,mPFF,M,pSyn,3.92E-06,0,3.92E-06,0
IM 64,"c(17, 10, 26, 42)",6,right,SCm,"c(""SCiw"", ""SCig"", ""SCdg"", ""SCdw"")",WT,mPFF,M,pSyn,0,0,0,0
IM57,"c(10, 17, 42, 26)",6,right,SCm,"c(""SCig"", ""SCiw"", ""SCdw"", ""SCdg"")",WT,mPFF,F,pSyn,0,0,0,0
IM 58,599626923,6,right,SCO,SCO,WT,mPFF,F,pSyn,0,0,0,0
IM 61,599626923,6,right,SCO,SCO,WT,mPFF,M,pSyn,0,0,0,0
IM 62,599626923,6,right,SCO,SCO,WT,mPFF,M,pSyn,0,0,0,0
IM 63,599626923,6,right,SCO,SCO,WT,mPFF,M,pSyn,0,0,0,0
IM 64,599626923,6,right,SCO,SCO,WT,mPFF,M,pSyn,0,0,0,0
IM57,599626923,6,right,SCO,SCO,WT,mPFF,F,pSyn,0,0,0,0
IM 58,326,6,right,scp,scp,WT,mPFF,F,pSyn,0,0,0,0
IM 59,326,6,right,scp,scp,WT,mPFF,F,pSyn,0,0,0,0
IM 60,326,6,right,scp,scp,WT,mPFF,F,pSyn,0,0,0,0
IM 63,326,6,right,scp,scp,WT,mPFF,M,pSyn,0,0,0,0
IM 64,326,6,right,scp,scp,WT,mPFF,M,pSyn,0,0,0,0
IM57,326,6,right,scp,scp,WT,mPFF,F,pSyn,0.015281537,0,0.015281537,0
IM 58,"c(851, 842, 834)",6,right,SCs,"c(""SCop"", ""SCsg"", ""SCzo"")",WT,mPFF,F,pSyn,0,0,0,0
IM 59,"c(842, 834, 851)",6,right,SCs,"c(""SCsg"", ""SCzo"", ""SCop"")",WT,mPFF,F,pSyn,0,0,0,0
IM 60,"c(842, 834, 851)",6,right,SCs,"c(""SCsg"", ""SCzo"", ""SCop"")",WT,mPFF,F,pSyn,0,0,0,0
IM 61,"c(842, 834, 851)",6,right,SCs,"c(""SCsg"", ""SCzo"", ""SCop"")",WT,mPFF,M,pSyn,0,0,0,0
IM 62,"c(842, 834, 851)",6,right,SCs,"c(""SCsg"", ""SCzo"", ""SCop"")",WT,mPFF,M,pSyn,0,0,0,0
IM 63,"c(842, 834, 851)",6,right,SCs,"c(""SCsg"", ""SCzo"", ""SCop"")",WT,mPFF,M,pSyn,0.000856838,0,0.000856838,0
IM 64,"c(842, 834, 851)",6,right,SCs,"c(""SCsg"", ""SCzo"", ""SCop"")",WT,mPFF,M,pSyn,0,0,0,0
IM57,"c(842, 834, 851)",6,right,SCs,"c(""SCsg"", ""SCzo"", ""SCop"")",WT,mPFF,F,pSyn,0,0,0,0
IM 64,866,6,right,sctv,sctv,WT,mPFF,M,pSyn,0,0,0,0
IM57,866,6,right,sctv,sctv,WT,mPFF,F,pSyn,0,0,0,0
IM 58,484682512,6,right,scwm,scwm,WT,mPFF,F,pSyn,0.140665588,0.009879645,0.130785943,3.085680142
IM 59,484682512,6,right,scwm,scwm,WT,mPFF,F,pSyn,0.028100848,0,0.028100848,0
IM 60,484682512,6,right,scwm,scwm,WT,mPFF,F,pSyn,0.032744476,0.004166356,0.028578119,0
IM 61,484682512,6,right,scwm,scwm,WT,mPFF,M,pSyn,0.025675757,0,0.025675757,0
IM 62,484682512,6,right,scwm,scwm,WT,mPFF,M,pSyn,0.074170486,0.004855835,0.069314652,2.666455081
IM 63,484682512,6,right,scwm,scwm,WT,mPFF,M,pSyn,0.05074737,0.016764761,0.033982609,3.172314433
IM 64,484682512,6,right,scwm,scwm,WT,mPFF,M,pSyn,0.048996644,0,0.048996644,0
IM57,484682512,6,right,scwm,scwm,WT,mPFF,F,pSyn,0.05486227,0,0.05486227,0
IM 58,310,6,right,SF,SF,WT,mPFF,F,pSyn,0.003028099,0,0.003028099,0
IM 60,310,6,right,SF,SF,WT,mPFF,F,pSyn,0.000319041,0,0.000319041,0
IM 62,310,6,right,SF,SF,WT,mPFF,M,pSyn,0,0,0,0
IM 58,325,6,right,SGN,SGN,WT,mPFF,F,pSyn,0,0,0,0
IM 59,325,6,right,SGN,SGN,WT,mPFF,F,pSyn,0,0,0,0
IM 60,325,6,right,SGN,SGN,WT,mPFF,F,pSyn,0,0,0,0
IM 61,325,6,right,SGN,SGN,WT,mPFF,M,pSyn,0.014290738,0,0.014290738,0
IM 62,325,6,right,SGN,SGN,WT,mPFF,M,pSyn,0,0,0,0
IM 63,325,6,right,SGN,SGN,WT,mPFF,M,pSyn,0,0,0,0
IM 64,325,6,right,SGN,SGN,WT,mPFF,M,pSyn,0,0,0,0
IM57,325,6,right,SGN,SGN,WT,mPFF,F,pSyn,0,0,0,0
IM 61,333,6,right,SH,SH,WT,mPFF,M,pSyn,0,0,0,0
IM 58,342,6,right,SI,SI,WT,mPFF,F,pSyn,0.00545263,0,0.00545263,0
IM 59,342,6,right,SI,SI,WT,mPFF,F,pSyn,0.008590784,0,0.008590784,0
IM 60,342,6,right,SI,SI,WT,mPFF,F,pSyn,0.015524189,0.007355038,0.008169151,2.358551881
IM 61,342,6,right,SI,SI,WT,mPFF,M,pSyn,0.009462762,0.002429976,0.007032786,1.080194316
IM 62,342,6,right,SI,SI,WT,mPFF,M,pSyn,0.012074723,0,0.012074723,0
IM 63,342,6,right,SI,SI,WT,mPFF,M,pSyn,0.01277053,0,0.01277053,0
IM 64,342,6,right,SI,SI,WT,mPFF,M,pSyn,0.008297163,0,0.008297163,0
IM57,342,6,right,SI,SI,WT,mPFF,F,pSyn,0.003331299,0,0.003331299,0
IM 58,802,6,right,sm,sm,WT,mPFF,F,pSyn,0.002424024,0,0.002424024,0
IM 59,802,6,right,sm,sm,WT,mPFF,F,pSyn,0.011717884,0,0.011717884,0
IM 60,802,6,right,sm,sm,WT,mPFF,F,pSyn,0.000263742,0,0.000263742,0
IM 61,802,6,right,sm,sm,WT,mPFF,M,pSyn,0,0,0,0
IM 62,802,6,right,sm,sm,WT,mPFF,M,pSyn,0,0,0,0
IM 63,802,6,right,sm,sm,WT,mPFF,M,pSyn,0,0,0,0
IM 64,802,6,right,sm,sm,WT,mPFF,M,pSyn,0,0,0,0
IM57,802,6,right,sm,sm,WT,mPFF,F,pSyn,0,0,0,0
IM 58,366,6,right,SMT,SMT,WT,mPFF,F,pSyn,0.020839146,0.004972343,0.015866803,2.346944922
IM 59,366,6,right,SMT,SMT,WT,mPFF,F,pSyn,0.011119737,0,0.011119737,0
IM 60,366,6,right,SMT,SMT,WT,mPFF,F,pSyn,0.028312609,0,0.028312609,0
IM 61,366,6,right,SMT,SMT,WT,mPFF,M,pSyn,0.012226138,0,0.012226138,0
IM 62,366,6,right,SMT,SMT,WT,mPFF,M,pSyn,0.017131437,0,0.017131437,0
IM 63,366,6,right,SMT,SMT,WT,mPFF,M,pSyn,0.00901926,0,0.00901926,0
IM 64,366,6,right,SMT,SMT,WT,mPFF,M,pSyn,0.001461839,0,0.001461839,0
IM57,366,6,right,SMT,SMT,WT,mPFF,F,pSyn,0.001980515,0,0.001980515,0
IM 64,122,6,right,SOC,POR,WT,mPFF,M,pSyn,0,0,0,0
IM57,122,6,right,SOC,POR,WT,mPFF,F,pSyn,0,0,0,0
IM 58,609,6,right,SPA,SPA,WT,mPFF,F,pSyn,0.024575029,0,0.024575029,0
IM 60,609,6,right,SPA,SPA,WT,mPFF,F,pSyn,0.000399906,0,0.000399906,0
IM 62,609,6,right,SPA,SPA,WT,mPFF,M,pSyn,0.011637106,0,0.011637106,0
IM 63,609,6,right,SPA,SPA,WT,mPFF,M,pSyn,0.034076511,0.021116562,0.01295995,0
IM 58,"c(414, 422)",6,right,SPF,"c(""SPFm"", ""SPFp"")",WT,mPFF,F,pSyn,0.006813335,0,0.006813335,0
IM 59,"c(414, 422)",6,right,SPF,"c(""SPFm"", ""SPFp"")",WT,mPFF,F,pSyn,0.039932906,0,0.039932906,0
IM 60,"c(414, 422)",6,right,SPF,"c(""SPFm"", ""SPFp"")",WT,mPFF,F,pSyn,0.033460088,0.025307376,0.008152711,4.756652414
IM 61,"c(422, 414)",6,right,SPF,"c(""SPFp"", ""SPFm"")",WT,mPFF,M,pSyn,0.002108849,0,0.002108849,0
IM 62,"c(422, 414)",6,right,SPF,"c(""SPFp"", ""SPFm"")",WT,mPFF,M,pSyn,0,0,0,0
IM 63,"c(414, 422)",6,right,SPF,"c(""SPFm"", ""SPFp"")",WT,mPFF,M,pSyn,0,0,0,0
IM 64,"c(422, 414)",6,right,SPF,"c(""SPFp"", ""SPFm"")",WT,mPFF,M,pSyn,0.007369521,0,0.007369521,0
IM57,"c(422, 414)",6,right,SPF,"c(""SPFp"", ""SPFm"")",WT,mPFF,F,pSyn,0.002788393,0,0.002788393,0
IM 58,"c(1070, 201, 1047, 981, 1038, 1062)",6,right,SSp-bfd,"c(""SSp-bfd5"", ""SSp-bfd2/3"", ""SSp-bfd4"", ""SSp-bfd1"", ""SSp-bfd6a"", ""SSp-bfd6b"")",WT,mPFF,F,pSyn,0.118145527,0.038135488,0.080010039,8.259225848
IM 59,"c(201, 1070, 1047, 981, 1062, 1038)",6,right,SSp-bfd,"c(""SSp-bfd2/3"", ""SSp-bfd5"", ""SSp-bfd4"", ""SSp-bfd1"", ""SSp-bfd6b"", ""SSp-bfd6a"")",WT,mPFF,F,pSyn,0.024022163,0.013050699,0.010971464,1.978672253
IM 60,"c(1062, 1038, 1070, 1047, 981, 201)",6,right,SSp-bfd,"c(""SSp-bfd6b"", ""SSp-bfd6a"", ""SSp-bfd5"", ""SSp-bfd4"", ""SSp-bfd1"", ""SSp-bfd2/3"")",WT,mPFF,F,pSyn,0.024741304,0.009406299,0.015335005,1.306678746
IM 61,"c(1038, 1070, 981, 1047, 201, 1062)",6,right,SSp-bfd,"c(""SSp-bfd6a"", ""SSp-bfd5"", ""SSp-bfd1"", ""SSp-bfd4"", ""SSp-bfd2/3"", ""SSp-bfd6b"")",WT,mPFF,M,pSyn,0.033724882,0.008274997,0.025449885,1.177161903
IM 62,"c(981, 1038, 201, 1062, 1047, 1070)",6,right,SSp-bfd,"c(""SSp-bfd1"", ""SSp-bfd6a"", ""SSp-bfd2/3"", ""SSp-bfd6b"", ""SSp-bfd4"", ""SSp-bfd5"")",WT,mPFF,M,pSyn,0.092489392,0.025064725,0.067424667,4.87336932
IM 63,"c(1047, 1038, 1070, 981, 201, 1062)",6,right,SSp-bfd,"c(""SSp-bfd4"", ""SSp-bfd6a"", ""SSp-bfd5"", ""SSp-bfd1"", ""SSp-bfd2/3"", ""SSp-bfd6b"")",WT,mPFF,M,pSyn,0.051109266,0.019425101,0.031684165,3.751150818
IM 64,"c(201, 1047, 981, 1070, 1038, 1062)",6,right,SSp-bfd,"c(""SSp-bfd2/3"", ""SSp-bfd4"", ""SSp-bfd1"", ""SSp-bfd5"", ""SSp-bfd6a"", ""SSp-bfd6b"")",WT,mPFF,M,pSyn,0.039300263,0.010192546,0.029107717,2.2184885
IM57,"c(1038, 1062, 1070, 981, 201, 1047)",6,right,SSp-bfd,"c(""SSp-bfd6a"", ""SSp-bfd6b"", ""SSp-bfd5"", ""SSp-bfd1"", ""SSp-bfd2/3"", ""SSp-bfd4"")",WT,mPFF,F,pSyn,0.068922173,0.032511517,0.036410656,6.46366584
IM 58,"c(1094, 510, 113, 478, 1030)",6,right,SSp-ll,"c(""SSp-ll4"", ""SSp-ll6b"", ""SSp-ll2/3"", ""SSp-ll6a"", ""SSp-ll1"")",WT,mPFF,F,pSyn,0.064442156,0.047025353,0.017416803,24.38815149
IM 59,"c(1128, 478, 510)",6,right,SSp-ll,"c(""SSp-ll5"", ""SSp-ll6a"", ""SSp-ll6b"")",WT,mPFF,F,pSyn,0.02995087,0,0.02995087,0
IM 60,"c(478, 1030, 1094, 510, 1128, 113)",6,right,SSp-ll,"c(""SSp-ll6a"", ""SSp-ll1"", ""SSp-ll4"", ""SSp-ll6b"", ""SSp-ll5"", ""SSp-ll2/3"")",WT,mPFF,F,pSyn,0.131323853,0.049300327,0.082023526,9.877618355
IM 61,"c(510, 478)",6,right,SSp-ll,"c(""SSp-ll6b"", ""SSp-ll6a"")",WT,mPFF,M,pSyn,0.036995314,0,0.036995314,0
IM 62,"c(510, 1030, 1094, 478, 113)",6,right,SSp-ll,"c(""SSp-ll6b"", ""SSp-ll1"", ""SSp-ll4"", ""SSp-ll6a"", ""SSp-ll2/3"")",WT,mPFF,M,pSyn,0.009482275,0,0.009482275,0
IM 63,"c(510, 478, 1128)",6,right,SSp-ll,"c(""SSp-ll6b"", ""SSp-ll6a"", ""SSp-ll5"")",WT,mPFF,M,pSyn,0.005848381,0,0.005848381,0
IM 64,"c(510, 1128, 1094, 478)",6,right,SSp-ll,"c(""SSp-ll6b"", ""SSp-ll5"", ""SSp-ll4"", ""SSp-ll6a"")",WT,mPFF,M,pSyn,0.082779099,0.039105601,0.043673498,9.360383839
IM57,"c(510, 1094, 478, 1128)",6,right,SSp-ll,"c(""SSp-ll6b"", ""SSp-ll4"", ""SSp-ll6a"", ""SSp-ll5"")",WT,mPFF,F,pSyn,0.044403675,0,0.044403675,0
IM 58,"c(657, 878, 2, 974, 1102, 950)",6,right,SSp-m,"c(""SSp-m2/3"", ""SSp-m1"", ""SSp-m6b"", ""SSp-m5"", ""SSp-m6a"", ""SSp-m4"")",WT,mPFF,F,pSyn,0.116164565,0.078243725,0.03792084,17.00164296
IM 60,"c(2, 1102, 974)",6,right,SSp-m,"c(""SSp-m6b"", ""SSp-m6a"", ""SSp-m5"")",WT,mPFF,F,pSyn,0.026857062,0,0.026857062,0
IM 61,"c(878, 1102, 974, 950, 657, 2)",6,right,SSp-m,"c(""SSp-m1"", ""SSp-m6a"", ""SSp-m5"", ""SSp-m4"", ""SSp-m2/3"", ""SSp-m6b"")",WT,mPFF,M,pSyn,0.010570842,0.003823881,0.006746961,0.911826968
IM 62,"c(2, 657, 974, 950, 1102, 878)",6,right,SSp-m,"c(""SSp-m6b"", ""SSp-m2/3"", ""SSp-m5"", ""SSp-m4"", ""SSp-m6a"", ""SSp-m1"")",WT,mPFF,M,pSyn,0.028868269,0.010042116,0.018826153,1.887467723
IM 64,"c(2, 950, 1102, 878, 657, 974)",6,right,SSp-m,"c(""SSp-m6b"", ""SSp-m4"", ""SSp-m6a"", ""SSp-m1"", ""SSp-m2/3"", ""SSp-m5"")",WT,mPFF,M,pSyn,0.016769622,0.001548526,0.015221097,0.765299229
IM 58,"c(838, 558)",6,right,SSp-n,"c(""SSp-n2/3"", ""SSp-n1"")",WT,mPFF,F,pSyn,0.001346861,0,0.001346861,0
IM 60,"c(838, 702, 558, 889, 654)",6,right,SSp-n,"c(""SSp-n2/3"", ""SSp-n5"", ""SSp-n1"", ""SSp-n6a"", ""SSp-n4"")",WT,mPFF,F,pSyn,0.038662522,0.0125348,0.026127722,3.419231351
IM 62,"c(838, 654, 558)",6,right,SSp-n,"c(""SSp-n2/3"", ""SSp-n4"", ""SSp-n1"")",WT,mPFF,M,pSyn,0.004080079,0,0.004080079,0
IM 58,"c(9, 1086, 1006, 670, 1111, 461)",6,right,SSp-tr,"c(""SSp-tr6a"", ""SSp-tr4"", ""SSp-tr1"", ""SSp-tr2/3"", ""SSp-tr5"", ""SSp-tr6b"")",WT,mPFF,F,pSyn,0.112922969,0.042438891,0.070484078,12.32498049
IM 59,"c(1111, 461, 1086, 1006, 670, 9)",6,right,SSp-tr,"c(""SSp-tr5"", ""SSp-tr6b"", ""SSp-tr4"", ""SSp-tr1"", ""SSp-tr2/3"", ""SSp-tr6a"")",WT,mPFF,F,pSyn,0.056663916,0.021717777,0.034946139,4.274591553
IM 60,"c(461, 670, 1086, 1111, 1006, 9)",6,right,SSp-tr,"c(""SSp-tr6b"", ""SSp-tr2/3"", ""SSp-tr4"", ""SSp-tr5"", ""SSp-tr1"", ""SSp-tr6a"")",WT,mPFF,F,pSyn,0.057053163,0.030800288,0.026252875,8.843867925
IM 61,"c(1006, 1111, 9, 1086, 670, 461)",6,right,SSp-tr,"c(""SSp-tr1"", ""SSp-tr5"", ""SSp-tr6a"", ""SSp-tr4"", ""SSp-tr2/3"", ""SSp-tr6b"")",WT,mPFF,M,pSyn,0.051571088,0.015818727,0.035752361,4.283231688
IM 62,"c(1006, 1111, 9, 461, 670, 1086)",6,right,SSp-tr,"c(""SSp-tr1"", ""SSp-tr5"", ""SSp-tr6a"", ""SSp-tr6b"", ""SSp-tr2/3"", ""SSp-tr4"")",WT,mPFF,M,pSyn,0.084297152,0.031855129,0.052442022,6.956459026
IM 63,"c(461, 1086, 1006, 1111, 670, 9)",6,right,SSp-tr,"c(""SSp-tr6b"", ""SSp-tr4"", ""SSp-tr1"", ""SSp-tr5"", ""SSp-tr2/3"", ""SSp-tr6a"")",WT,mPFF,M,pSyn,0.029126192,0.020463189,0.008663003,3.53315767
IM 64,"c(1006, 1086, 670, 9, 1111, 461)",6,right,SSp-tr,"c(""SSp-tr1"", ""SSp-tr4"", ""SSp-tr2/3"", ""SSp-tr6a"", ""SSp-tr5"", ""SSp-tr6b"")",WT,mPFF,M,pSyn,0.069178293,0.031299804,0.037878489,7.78473412
IM57,"c(461, 670, 1111, 1006, 9, 1086)",6,right,SSp-tr,"c(""SSp-tr6b"", ""SSp-tr2/3"", ""SSp-tr5"", ""SSp-tr1"", ""SSp-tr6a"", ""SSp-tr4"")",WT,mPFF,F,pSyn,0.079097144,0.032438423,0.046658721,8.838957898
IM 58,"c(1026, 577, 854, 450, 945, 625)",6,right,SSp-ul,"c(""SSp-ul6b"", ""SSp-ul4"", ""SSp-ul2/3"", ""SSp-ul1"", ""SSp-ul6a"", ""SSp-ul5"")",WT,mPFF,F,pSyn,0.193790684,0.129692027,0.064098657,29.338181
IM 59,"c(625, 1026, 945, 577)",6,right,SSp-ul,"c(""SSp-ul5"", ""SSp-ul6b"", ""SSp-ul6a"", ""SSp-ul4"")",WT,mPFF,F,pSyn,0.052985649,0,0.052985649,0
IM 60,"c(450, 625, 577, 854, 1026, 945)",6,right,SSp-ul,"c(""SSp-ul1"", ""SSp-ul5"", ""SSp-ul4"", ""SSp-ul2/3"", ""SSp-ul6b"", ""SSp-ul6a"")",WT,mPFF,F,pSyn,0.168114259,0.087742207,0.080372052,21.50032785
IM 61,"c(577, 1026, 854, 625, 450, 945)",6,right,SSp-ul,"c(""SSp-ul4"", ""SSp-ul6b"", ""SSp-ul2/3"", ""SSp-ul5"", ""SSp-ul1"", ""SSp-ul6a"")",WT,mPFF,M,pSyn,0.01767499,0.011827847,0.005847142,2.493671283
IM 62,"c(854, 625, 450, 945, 1026, 577)",6,right,SSp-ul,"c(""SSp-ul2/3"", ""SSp-ul5"", ""SSp-ul1"", ""SSp-ul6a"", ""SSp-ul6b"", ""SSp-ul4"")",WT,mPFF,M,pSyn,0.09217094,0.025952349,0.066218591,7.867464472
IM 63,"c(1026, 945, 854, 577, 625)",6,right,SSp-ul,"c(""SSp-ul6b"", ""SSp-ul6a"", ""SSp-ul2/3"", ""SSp-ul4"", ""SSp-ul5"")",WT,mPFF,M,pSyn,0.060055533,0.027117726,0.032937807,5.373400773
IM 64,"c(854, 450, 1026, 625, 945, 577)",6,right,SSp-ul,"c(""SSp-ul2/3"", ""SSp-ul1"", ""SSp-ul6b"", ""SSp-ul5"", ""SSp-ul6a"", ""SSp-ul4"")",WT,mPFF,M,pSyn,0.114806928,0.060847112,0.053959817,15.68137617
IM57,"c(625, 854, 450, 945, 577, 1026)",6,right,SSp-ul,"c(""SSp-ul5"", ""SSp-ul2/3"", ""SSp-ul1"", ""SSp-ul6a"", ""SSp-ul4"", ""SSp-ul6b"")",WT,mPFF,F,pSyn,0.090569724,0.041353003,0.049216721,9.860866942
IM 58,"c(182305705, 182305709, 182305701, 182305713, 182305697, 182305693)",6,right,SSp-un,"c(""SSp-un5"", ""SSp-un6a"", ""SSp-un4"", ""SSp-un6b"", ""SSp-un2/3"", ""SSp-un1"")",WT,mPFF,F,pSyn,0.099064264,0.060693454,0.038370811,10.13761214
IM 59,"c(182305709, 182305705, 182305713, 182305693, 182305701, 182305697)",6,right,SSp-un,"c(""SSp-un6a"", ""SSp-un5"", ""SSp-un6b"", ""SSp-un1"", ""SSp-un4"", ""SSp-un2/3"")",WT,mPFF,F,pSyn,0.034489288,0,0.034489288,0
IM 60,"c(182305709, 182305713, 182305701, 182305705, 182305697, 182305693)",6,right,SSp-un,"c(""SSp-un6a"", ""SSp-un6b"", ""SSp-un4"", ""SSp-un5"", ""SSp-un2/3"", ""SSp-un1"")",WT,mPFF,F,pSyn,0.182134933,0.075683652,0.10645128,14.21877243
IM 61,"c(182305709, 182305713, 182305697, 182305701, 182305705)",6,right,SSp-un,"c(""SSp-un6a"", ""SSp-un6b"", ""SSp-un2/3"", ""SSp-un4"", ""SSp-un5"")",WT,mPFF,M,pSyn,0.066902727,0.016888771,0.050013956,6.089812975
IM 62,"c(182305713, 182305709, 182305705, 182305701, 182305693, 182305697)",6,right,SSp-un,"c(""SSp-un6b"", ""SSp-un6a"", ""SSp-un5"", ""SSp-un4"", ""SSp-un1"", ""SSp-un2/3"")",WT,mPFF,M,pSyn,0.069699575,0.048080817,0.021618758,11.09768163
IM 63,"c(182305697, 182305693, 182305713, 182305709, 182305701, 182305705)",6,right,SSp-un,"c(""SSp-un2/3"", ""SSp-un1"", ""SSp-un6b"", ""SSp-un6a"", ""SSp-un4"", ""SSp-un5"")",WT,mPFF,M,pSyn,0.058076375,0.023907854,0.034168521,4.246599225
IM 64,"c(182305705, 182305701, 182305709, 182305713, 182305693, 182305697)",6,right,SSp-un,"c(""SSp-un5"", ""SSp-un4"", ""SSp-un6a"", ""SSp-un6b"", ""SSp-un1"", ""SSp-un2/3"")",WT,mPFF,M,pSyn,0.084588362,0.060934757,0.023653604,20.44525772
IM57,"c(182305697, 182305713, 182305709, 182305693, 182305701, 182305705)",6,right,SSp-un,"c(""SSp-un2/3"", ""SSp-un6b"", ""SSp-un6a"", ""SSp-un1"", ""SSp-un4"", ""SSp-un5"")",WT,mPFF,F,pSyn,0.045382875,0,0.045382875,0
IM 58,"c(1090, 1035, 873, 806, 893, 862)",6,right,SSs,"c(""SSs5"", ""SSs4"", ""SSs1"", ""SSs2/3"", ""SSs6b"", ""SSs6a"")",WT,mPFF,F,pSyn,0.253290328,0.120541157,0.132749171,20.69555168
IM 59,"c(862, 893, 1035, 1090, 806, 873)",6,right,SSs,"c(""SSs6a"", ""SSs6b"", ""SSs4"", ""SSs5"", ""SSs2/3"", ""SSs1"")",WT,mPFF,F,pSyn,0.077046091,0.019677355,0.057368737,3.846169631
IM 60,"c(873, 862, 1090, 1035, 806, 893)",6,right,SSs,"c(""SSs1"", ""SSs6a"", ""SSs5"", ""SSs4"", ""SSs2/3"", ""SSs6b"")",WT,mPFF,F,pSyn,0.13950119,0.03239566,0.10710553,4.986817436
