mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total Pathology % Area ,Inclusion Pathology % Area,Neurite Pathology % Area,Inclusion Count per mm^2 (log10)
IM 134,"c(678, 156, 600, 527, 243, 252)",0.5,left,AUDd,"c(""AUDd4"", ""AUDd6a"", ""AUDd2/3"", ""AUDd1"", ""AUDd6b"", ""AUDd5"")",WT,mPFF,F,pSyn,0.000536473,0,0.000536473,0
IM 135,"c(243, 678, 527, 156, 600, 252)",0.5,left,AUDd,"c(""AUDd6b"", ""AUDd4"", ""AUDd1"", ""AUDd6a"", ""AUDd2/3"", ""AUDd5"")",WT,mPFF,F,pSyn,0.002659799,0,0.002659799,0
IM 136,"c(600, 527, 678, 252, 156, 243)",0.5,left,AUDd,"c(""AUDd2/3"", ""AUDd1"", ""AUDd4"", ""AUDd5"", ""AUDd6a"", ""AUDd6b"")",WT,mPFF,F,pSyn,0.000895802,0,0.000895802,0
IM 137,"c(527, 252, 678, 156, 600, 243)",0.5,left,AUDd,"c(""AUDd1"", ""AUDd5"", ""AUDd4"", ""AUDd6a"", ""AUDd2/3"", ""AUDd6b"")",WT,mPFF,M,pSyn,0.0021127,0,0.0021127,0
IM 138,"c(600, 156, 243, 527, 252, 678)",0.5,left,AUDd,"c(""AUDd2/3"", ""AUDd6a"", ""AUDd6b"", ""AUDd1"", ""AUDd5"", ""AUDd4"")",WT,mPFF,M,pSyn,0.004553589,0,0.004553589,0
IM 139,"c(252, 156, 243, 678, 527, 600)",0.5,left,AUDd,"c(""AUDd5"", ""AUDd6a"", ""AUDd6b"", ""AUDd4"", ""AUDd1"", ""AUDd2/3"")",WT,mPFF,M,pSyn,0.00111427,0,0.00111427,0
IM 140,"c(600, 243, 678, 527, 156, 252)",0.5,left,AUDd,"c(""AUDd2/3"", ""AUDd6b"", ""AUDd4"", ""AUDd1"", ""AUDd6a"", ""AUDd5"")",WT,mPFF,M,pSyn,0.000286301,0,0.000286301,0
IM 133,"c(954, 816, 251, 1005, 735, 847)",0.5,left,AUDp,"c(""AUDp6a"", ""AUDp4"", ""AUDp2/3"", ""AUDp6b"", ""AUDp1"", ""AUDp5"")",WT,mPFF,F,pSyn,0.000182423,0,0.000182423,0
IM 134,"c(847, 816, 735, 251, 1005, 954)",0.5,left,AUDp,"c(""AUDp5"", ""AUDp4"", ""AUDp1"", ""AUDp2/3"", ""AUDp6b"", ""AUDp6a"")",WT,mPFF,F,pSyn,0.001421503,0,0.001421503,0
IM 135,"c(1005, 847, 954, 735, 816, 251)",0.5,left,AUDp,"c(""AUDp6b"", ""AUDp5"", ""AUDp6a"", ""AUDp1"", ""AUDp4"", ""AUDp2/3"")",WT,mPFF,F,pSyn,0.002259796,0,0.002259796,0
IM 136,"c(735, 816, 251, 847, 954, 1005)",0.5,left,AUDp,"c(""AUDp1"", ""AUDp4"", ""AUDp2/3"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,F,pSyn,0.000285447,0,0.000285447,0
IM 137,"c(847, 735, 954, 816, 251, 1005)",0.5,left,AUDp,"c(""AUDp5"", ""AUDp1"", ""AUDp6a"", ""AUDp4"", ""AUDp2/3"", ""AUDp6b"")",WT,mPFF,M,pSyn,0.000421204,0,0.000421204,0
IM 138,"c(251, 1005, 735, 816, 847, 954)",0.5,left,AUDp,"c(""AUDp2/3"", ""AUDp6b"", ""AUDp1"", ""AUDp4"", ""AUDp5"", ""AUDp6a"")",WT,mPFF,M,pSyn,0.000293983,0,0.000293983,0
IM 139,"c(847, 816, 735, 954, 251, 1005)",0.5,left,AUDp,"c(""AUDp5"", ""AUDp4"", ""AUDp1"", ""AUDp6a"", ""AUDp2/3"", ""AUDp6b"")",WT,mPFF,M,pSyn,0.000248885,0,0.000248885,0
IM 140,"c(251, 816, 735, 954, 1005, 847)",0.5,left,AUDp,"c(""AUDp2/3"", ""AUDp4"", ""AUDp1"", ""AUDp6a"", ""AUDp6b"", ""AUDp5"")",WT,mPFF,M,pSyn,0.000209031,0,0.000209031,0
IM 133,"c(791, 456, 759, 696, 249, 643)",0.5,left,AUDpo,"c(""AUDpo5"", ""AUDpo6b"", ""AUDpo4"", ""AUDpo1"", ""AUDpo6a"", ""AUDpo2/3"")",WT,mPFF,F,pSyn,0,0,0,0
IM 134,"c(791, 759, 249, 696, 456, 643)",0.5,left,AUDpo,"c(""AUDpo5"", ""AUDpo4"", ""AUDpo6a"", ""AUDpo1"", ""AUDpo6b"", ""AUDpo2/3"")",WT,mPFF,F,pSyn,0.002116228,0,0.002116228,0
IM 135,"c(643, 791, 696, 759, 249, 456)",0.5,left,AUDpo,"c(""AUDpo2/3"", ""AUDpo5"", ""AUDpo1"", ""AUDpo4"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,F,pSyn,0.000271065,0,0.000271065,0
IM 136,"c(791, 456, 696, 643, 759, 249)",0.5,left,AUDpo,"c(""AUDpo5"", ""AUDpo6b"", ""AUDpo1"", ""AUDpo2/3"", ""AUDpo4"", ""AUDpo6a"")",WT,mPFF,F,pSyn,0.004210699,0,0.004210699,0
