,mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,forRemove,batch,Region Area,Logged Region Area
66,IM 341,"c(735, 251, 816, 847)",0.2,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"")",WT,mPFF,F,pSyn,"c(735, 251, 816, 847)",None,42494.95169,4.62833734
67,IM 331,"c(696, 643, 759, 791, 249, 456)",0.2,left,AUDpo,"c(""AUDpo1"", ""AUDpo2/3"", ""AUDpo4"", ""AUDpo5"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,M,pSyn,"c(696, 643, 759, 791, 249, 456)",None,50587.64273,4.704044443
68,IM 334,"c(696, 643, 759, 791, 249, 456)",0.2,left,AUDpo,"c(""AUDpo1"", ""AUDpo2/3"", ""AUDpo4"", ""AUDpo5"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,F,pSyn,"c(696, 643, 759, 791, 249, 456)",None,43672.54771,4.640208528
69,IM 338,"c(696, 643, 759, 791, 249, 456)",0.2,left,AUDpo,"c(""AUDpo1"", ""AUDpo2/3"", ""AUDpo4"", ""AUDpo5"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,M,pSyn,"c(696, 643, 759, 791, 249, 456)",None,51748.3357,4.713896387
70,IM 331,"c(959, 755, 990, 1023, 520, 598)",0.2,left,AUDv,"c(""AUDv1"", ""AUDv2/3"", ""AUDv4"", ""AUDv5"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,M,pSyn,"c(959, 755, 990, 1023, 520, 598)",None,59378.47225,4.77362902
71,IM 334,"c(959, 755, 990, 1023, 520, 598)",0.2,left,AUDv,"c(""AUDv1"", ""AUDv2/3"", ""AUDv4"", ""AUDv5"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,F,pSyn,"c(959, 755, 990, 1023, 520, 598)",None,47141.39603,4.67340244
72,IM 338,"c(959, 755, 990, 1023, 520, 598)",0.2,left,AUDv,"c(""AUDv1"", ""AUDv2/3"", ""AUDv4"", ""AUDv5"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,M,pSyn,"c(959, 755, 990, 1023, 520, 598)",None,48739.5567,4.687881575
73,IM 341,"c(959, 755, 990, 1023, 520, 598)",0.2,left,AUDv,"c(""AUDv1"", ""AUDv2/3"", ""AUDv4"", ""AUDv5"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,F,pSyn,"c(959, 755, 990, 1023, 520, 598)",None,74934.79135,4.874683502
74,IM 331,482,0.2,left,bic,bic,WT,mPFF,M,pSyn,482,None,68414.3862,4.835147435
75,IM 334,482,0.2,left,bic,bic,WT,mPFF,F,pSyn,482,None,74924.69281,4.874624971
76,IM 338,482,0.2,left,bic,bic,WT,mPFF,M,pSyn,482,None,81705.85029,4.912253154
77,IM 341,482,0.2,left,bic,bic,WT,mPFF,F,pSyn,482,None,76052.03473,4.881110838
78,IM 331,"c(303, 451, 311)",0.2,left,BLA,"c(""BLAa"", ""BLAv"", ""BLAp"")",WT,mPFF,M,pSyn,"c(303, 451, 311)",None,128664.6105,5.10945911
79,IM 334,"c(303, 451, 311)",0.2,left,BLA,"c(""BLAa"", ""BLAv"", ""BLAp"")",WT,mPFF,F,pSyn,"c(303, 451, 311)",None,137348.8963,5.137825174
80,IM 338,"c(303, 451, 311)",0.2,left,BLA,"c(""BLAa"", ""BLAv"", ""BLAp"")",WT,mPFF,M,pSyn,"c(303, 451, 311)",None,121664.1248,5.085162536
81,IM 341,"c(303, 311, 451)",0.2,left,BLA,"c(""BLAa"", ""BLAp"", ""BLAv"")",WT,mPFF,F,pSyn,"c(303, 311, 451)",None,178070.0399,5.250590856
82,IM 331,"c(327, 334)",0.2,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,M,pSyn,"c(327, 334)",None,151988.9116,5.181811905
83,IM 334,"c(327, 334)",0.2,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,F,pSyn,"c(327, 334)",None,152075.7171,5.182059873
84,IM 338,"c(327, 334)",0.2,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,M,pSyn,"c(327, 334)",None,170214.1763,5.230995728
